pickup_date,total_trips
2007-12-05,1
2009-01-01,1
2024-12-31,21
2025-01-01,90188
2025-01-02,84832
2025-01-03,91250
2025-01-04,97804
2025-01-05,79624
2025-01-06,80126
2025-01-07,100643
2025-01-08,113897
2025-01-09,119285
2025-01-10,111494
2025-01-11,121966
2025-01-12,102510
2025-01-13,100492
2025-01-14,121735
2025-01-15,125359
2025-01-16,138711
2025-01-17,120994
2025-01-18,119812
2025-01-19,118232
2025-01-20,90094
2025-01-21,117592
2025-01-22,127259
2025-01-23,138136
2025-01-24,129546
2025-01-25,136816
2025-01-26,102228
2025-01-27,93060
2025-01-28,114002
2025-01-29,120672
2025-01-30,133266
2025-01-31,133609
2025-02-01,148650
2025-02-02,123646
2025-02-03,98476
2025-02-04,119863
2025-02-05,128369
2025-02-06,126082
2025-02-07,138099
2025-02-08,146049
2025-02-09,123431
2025-02-10,108569
2025-02-11,125526
2025-02-12,128920
2025-02-13,142760
2025-02-14,158575
2025-02-15,148473
2025-02-16,113726
2025-02-17,94574
2025-02-18,117355
2025-02-19,123679
2025-02-20,142246
2025-02-21,133980
2025-02-22,141862
2025-02-23,108970
2025-02-24,97348
2025-02-25,115804
2025-02-26,128974
2025-02-27,144052
2025-02-28,149484
2025-03-01,164226
2025-03-02,128857
2025-03-03,111319
2025-03-04,125887
2025-03-05,148102
2025-03-06,146400
2025-03-07,137877
2025-03-08,147698
2025-03-09,117402
2025-03-10,105213
2025-03-11,125981
2025-03-12,138868
2025-03-13,156893
2025-03-14,145063
2025-03-15,152910
2025-03-16,118920
2025-03-17,112592
2025-03-18,125058
2025-03-19,128292
2025-03-20,153239
2025-03-21,134581
2025-03-22,142104
2025-03-23,121065
2025-03-24,110918
2025-03-25,119934
2025-03-26,131537
2025-03-27,142834
2025-03-28,136362
2025-03-29,163096
2025-03-30,136781
2025-03-31,115216
2025-04-01,2
