pickup_date,total_trips
2020-03-01,179779.0
2020-03-02,193514.0
2020-03-03,222917.0
2020-03-04,229735.0
2020-03-05,244451.0
2020-03-06,243741.0
2020-03-07,208200.0
2020-03-08,165803.0
2020-03-09,175602.0
2020-03-10,184118.0
2020-03-11,182663.0
2020-03-12,171096.0
2020-03-13,134723.0
2020-03-14,89672.0
2020-03-15,59894.0
2020-03-16,64227.0
2020-03-17,45639.0
2020-03-18,36268.0
2020-03-19,29813.0
2020-03-20,27644.0
2020-03-21,16179.0
2020-03-22,10341.0
2020-03-23,13580.0
2020-03-24,11858.0
2020-03-25,11213.0
2020-03-26,10672.0
2020-03-27,11785.0
2020-03-28,7635.0
2020-03-29,5541.0
2020-03-30,9586.0
2020-03-31,9447.0
2020-04-01,9470.0
2020-04-02,8798.0
2020-04-03,10311.0
2020-04-04,6404.0
2020-04-05,5054.0
2020-04-06,8279.0
2020-04-07,7895.0
2020-04-08,7917.0
2020-04-09,7830.0
2020-04-10,8590.0
2020-04-11,6271.0
2020-04-12,4432.0
2020-04-13,7471.0
2020-04-14,8331.0
2020-04-15,8303.0
2020-04-16,8496.0
2020-04-17,9676.0
2020-04-18,5809.0
2020-04-19,5122.0
2020-04-20,8134.0
2020-04-21,8086.0
2020-04-22,8626.0
2020-04-23,8721.0
2020-04-24,9395.0
2020-04-25,7219.0
2020-04-26,4993.0
2020-04-27,8904.0
2020-04-28,9458.0
2020-04-29,9684.0
2020-04-30,10284.0
2020-05-01,11894.0
2020-05-02,8450.0
2020-05-03,6417.0
2020-05-04,10801.0
2020-05-05,11206.0
2020-05-06,11960.0
2020-05-07,12066.0
2020-05-08,13138.0
2020-05-09,8610.0
2020-05-10,7606.0
2020-05-11,11885.0
2020-05-12,12190.0
2020-05-13,13019.0
2020-05-14,13210.0
2020-05-15,14591.0
2020-05-16,10276.0
2020-05-17,7403.0
2020-05-18,12073.0
2020-05-19,12224.0
2020-05-20,12677.0
2020-05-21,12807.0
2020-05-22,13993.0
2020-05-23,8009.0
2020-05-24,7984.0
2020-05-25,7664.0
2020-05-26,13078.0
2020-05-27,14262.0
2020-05-28,13586.0
2020-05-29,15176.0
2020-05-30,11331.0
2020-05-31,8826.0
2020-06-01,14670.0
2020-06-02,14958.0
2020-06-03,14990.0
2020-06-04,15836.0
2020-06-05,16501.0
