datetime,tempmax
2020-01-01,41.3
2020-01-02,48.8
2020-01-03,48.7
2020-01-04,50.4
2020-01-05,41.8
2020-01-06,44.2
2020-01-07,43.7
2020-01-08,41.7
2020-01-09,33.0
2020-01-10,54.0
2020-01-11,66.7
2020-01-12,66.9
2020-01-13,44.8
2020-01-14,45.2
2020-01-15,50.3
2020-01-16,48.4
2020-01-17,34.1
2020-01-18,36.9
2020-01-19,42.5
2020-01-20,31.2
2020-01-21,32.5
2020-01-22,38.8
2020-01-23,46.1
2020-01-24,49.3
2020-01-25,50.6
2020-01-26,45.9
2020-01-27,45.0
2020-01-28,42.3
2020-01-29,40.0
2020-01-30,36.7
2020-01-31,42.3
2020-02-01,42.3
2020-02-02,43.8
2020-02-03,56.2
2020-02-04,59.1
2020-02-05,54.3
2020-02-06,40.7
2020-02-07,55.5
2020-02-08,39.6
2020-02-09,42.0
2020-02-10,46.8
2020-02-11,47.9
2020-02-12,45.9
2020-02-13,43.2
2020-02-14,39.8
2020-02-15,29.9
2020-02-16,43.4
2020-02-17,50.4
2020-02-18,46.5
2020-02-19,47.7
2020-02-20,38.0
2020-02-21,35.3
2020-02-22,50.0
2020-02-23,56.0
2020-02-24,60.8
2020-02-25,51.5
2020-02-26,47.1
2020-02-27,43.5
2020-02-28,41.3
2020-02-29,34.5
2020-03-01,43.5
2020-03-02,57.2
2020-03-03,58.4
2020-03-04,55.7
2020-03-05,51.5
2020-03-06,44.6
2020-03-07,47.7
2020-03-08,59.2
2020-03-09,71.6
2020-03-10,65.4
2020-03-11,59.8
2020-03-12,48.3
2020-03-13,69.4
2020-03-14,55.4
2020-03-15,53.5
2020-03-16,43.5
2020-03-17,54.1
2020-03-18,52.5
2020-03-19,51.4
2020-03-20,76.3
2020-03-21,69.4
2020-03-22,44.2
2020-03-23,41.1
2020-03-24,54.2
2020-03-25,45.0
2020-03-26,58.0
2020-03-27,67.7
2020-03-28,54.3
2020-03-29,47.0
2020-03-30,51.0
2020-03-31,47.6
2020-04-01,55.0
2020-04-02,57.3
2020-04-03,52.1
2020-04-04,60.5
2020-04-05,63.9
2020-04-06,66.1
2020-04-07,65.9
2020-04-08,64.0
2020-04-09,58.1
2020-04-10,48.8
2020-04-11,55.3
2020-04-12,61.9
2020-04-13,66.9
2020-04-14,59.3
2020-04-15,52.2
2020-04-16,47.5
2020-04-17,50.0
2020-04-18,46.1
2020-04-19,61.5
2020-04-20,55.9
2020-04-21,58.9
2020-04-22,51.3
2020-04-23,50.6
2020-04-24,49.1
2020-04-25,63.0
2020-04-26,50.7
2020-04-27,49.2
2020-04-28,65.7
2020-04-29,57.3
2020-04-30,60.2
2020-05-01,65.5
2020-05-02,73.0
2020-05-03,79.5
2020-05-04,71.0
2020-05-05,62.4
2020-05-06,54.7
2020-05-07,66.8
2020-05-08,59.6
2020-05-09,47.4
2020-05-10,63.6
2020-05-11,60.2
2020-05-12,59.3
2020-05-13,63.3
2020-05-14,63.8
2020-05-15,84.3
2020-05-16,75.8
2020-05-17,66.9
2020-05-18,69.0
2020-05-19,66.9
2020-05-20,64.4
2020-05-21,66.0
2020-05-22,75.0
2020-05-23,67.3
2020-05-24,67.1
2020-05-25,69.6
2020-05-26,75.7
2020-05-27,78.5
2020-05-28,75.5
2020-05-29,80.8
2020-05-30,81.2
2020-05-31,70.3
2020-06-01,70.1
2020-06-02,73.0
2020-06-03,79.1
2020-06-04,85.4
2020-06-05,80.1
2020-06-06,86.1
2020-06-07,76.1
2020-06-08,78.9
2020-06-09,87.8
2020-06-10,82.0
2020-06-11,82.2
2020-06-12,84.7
2020-06-13,74.0
2020-06-14,73.5
2020-06-15,74.4
2020-06-16,76.1
2020-06-17,77.6
2020-06-18,76.1
2020-06-19,82.8
2020-06-20,84.9
2020-06-21,85.9
2020-06-22,90.3
2020-06-23,85.8
2020-06-24,85.5
2020-06-25,86.3
2020-06-26,86.3
2020-06-27,81.0
2020-06-28,90.0
2020-06-29,86.9
2020-06-30,78.1
2020-07-01,79.6
2020-07-02,92.2
2020-07-03,90.2
2020-07-04,86.7
2020-07-05,93.2
2020-07-06,94.7
2020-07-07,79.8
2020-07-08,83.6
2020-07-09,88.4
2020-07-10,77.6
2020-07-11,84.5
2020-07-12,88.2
2020-07-13,86.0
2020-07-14,85.2
2020-07-15,79.8
2020-07-16,76.6
2020-07-17,84.5
2020-07-18,90.6
2020-07-19,93.7
2020-07-20,92.8
2020-07-21,91.5
2020-07-22,91.1
2020-07-23,87.1
2020-07-24,81.4
2020-07-25,87.6
2020-07-26,92.3
2020-07-27,94.0
2020-07-28,92.8
2020-07-29,88.2
2020-07-30,92.1
2020-07-31,81.9
2020-08-01,87.0
2020-08-02,88.5
2020-08-03,89.3
2020-08-04,79.9
2020-08-05,86.0
2020-08-06,79.7
2020-08-07,79.2
2020-08-08,82.9
2020-08-09,87.2
2020-08-10,90.9
2020-08-11,85.9
2020-08-12,88.7
2020-08-13,79.2
2020-08-14,85.9
2020-08-15,83.7
2020-08-16,73.5
2020-08-17,81.1
2020-08-18,81.9
2020-08-19,75.8
2020-08-20,80.4
2020-08-21,84.2
2020-08-22,87.8
2020-08-23,85.1
2020-08-24,90.4
2020-08-25,89.4
2020-08-26,77.2
2020-08-27,90.8
2020-08-28,85.6
2020-08-29,81.9
2020-08-30,79.1
2020-08-31,75.8
2020-09-01,77.1
2020-09-02,79.4
2020-09-03,85.3
2020-09-04,84.9
2020-09-05,78.9
2020-09-06,81.9
2020-09-07,78.6
2020-09-08,83.2
2020-09-09,80.2
2020-09-10,82.3
2020-09-11,76.5
2020-09-12,73.1
2020-09-13,74.6
2020-09-14,75.5
2020-09-15,65.9
2020-09-16,70.8
2020-09-17,75.0
2020-09-18,71.7
2020-09-19,63.6
2020-09-20,63.7
2020-09-21,64.5
2020-09-22,72.2
2020-09-23,79.6
2020-09-24,75.7
2020-09-25,77.3
2020-09-26,73.9
2020-09-27,78.5
2020-09-28,77.7
2020-09-29,73.5
2020-09-30,71.7
2020-10-01,71.2
2020-10-02,65.4
2020-10-03,66.7
2020-10-04,65.9
2020-10-05,68.0
2020-10-06,69.5
2020-10-07,74.6
2020-10-08,63.6
2020-10-09,69.1
2020-10-10,70.8
2020-10-11,66.8
2020-10-12,60.5
2020-10-13,58.2
2020-10-14,68.1
2020-10-15,71.4
2020-10-16,65.3
2020-10-17,59.9
2020-10-18,62.1
2020-10-19,64.7
2020-10-20,70.5
2020-10-21,68.8
2020-10-22,68.4
2020-10-23,68.1
2020-10-24,69.8
2020-10-25,52.5
2020-10-26,58.8
2020-10-27,58.8
2020-10-28,57.4
2020-10-29,56.4
2020-10-30,47.0
2020-10-31,46.3
2020-11-01,55.3
2020-11-02,45.3
2020-11-03,53.7
2020-11-04,62.1
2020-11-05,68.1
2020-11-06,71.0
2020-11-07,74.2
2020-11-08,74.7
2020-11-09,75.2
2020-11-10,74.2
2020-11-11,71.5
2020-11-12,67.5
2020-11-13,50.6
2020-11-14,52.6
2020-11-15,63.2
2020-11-16,55.5
2020-11-17,49.8
2020-11-18,36.5
2020-11-19,48.4
2020-11-20,62.9
2020-11-21,64.4
2020-11-22,57.3
2020-11-23,60.2
2020-11-24,48.7
2020-11-25,55.4
2020-11-26,64.7
2020-11-27,61.7
2020-11-28,55.6
2020-11-29,54.4
2020-11-30,63.7
2020-12-01,60.0
2020-12-02,43.7
2020-12-03,49.5
2020-12-04,52.2
2020-12-05,47.2
2020-12-06,40.5
2020-12-07,40.0
2020-12-08,36.8
2020-12-09,37.5
2020-12-10,48.5
2020-12-11,56.0
2020-12-12,55.7
2020-12-13,60.7
2020-12-14,47.3
2020-12-15,39.5
2020-12-16,31.5
2020-12-17,32.5
2020-12-18,32.4
2020-12-19,32.1
2020-12-20,39.5
2020-12-21,45.6
2020-12-22,45.4
2020-12-23,44.8
2020-12-24,59.5
2020-12-25,60.9
2020-12-26,32.5
2020-12-27,37.8
2020-12-28,50.6
2020-12-29,43.4
2020-12-30,42.4
2020-12-31,48.1
2021-01-01,39.1
2021-01-02,51.5
2021-01-03,37.9
2021-01-04,42.9
2021-01-05,41.0
2021-01-06,40.9
2021-01-07,41.8
2021-01-08,37.7
2021-01-09,36.6
2021-01-10,41.6
2021-01-11,37.3
2021-01-12,44.3
2021-01-13,43.3
2021-01-14,49.3
2021-01-15,46.5
2021-01-16,46.7
2021-01-17,44.5
2021-01-18,44.9
2021-01-19,42.7
2021-01-20,39.4
2021-01-21,42.6
2021-01-22,44.5
2021-01-23,36.4
2021-01-24,32.6
2021-01-25,38.2
2021-01-26,34.7
2021-01-27,37.1
2021-01-28,33.5
2021-01-29,25.7
2021-01-30,32.8
2021-01-31,27.4
2021-02-01,33.0
2021-02-02,33.5
2021-02-03,37.3
2021-02-04,42.5
2021-02-05,46.7
2021-02-06,44.3
2021-02-07,38.9
2021-02-08,29.3
2021-02-09,33.0
2021-02-10,35.3
2021-02-11,32.3
2021-02-12,29.9
2021-02-13,29.6
2021-02-14,37.3
2021-02-15,34.7
2021-02-16,51.4
2021-02-17,34.2
2021-02-18,29.6
2021-02-19,33.2
2021-02-20,34.4
2021-02-21,36.4
2021-02-22,38.6
2021-02-23,45.1
2021-02-24,52.9
2021-02-25,49.9
2021-02-26,45.1
2021-02-27,50.3
2021-02-28,44.3
2021-03-01,47.9
2021-03-02,32.9
2021-03-03,51.5
2021-03-04,44.3
2021-03-05,36.8
2021-03-06,34.2
2021-03-07,40.5
2021-03-08,43.5
2021-03-09,62.9
2021-03-10,53.5
2021-03-11,70.4
2021-03-12,67.7
2021-03-13,53.1
2021-03-14,51.6
2021-03-15,38.4
2021-03-16,36.7
2021-03-17,46.3
2021-03-18,46.1
2021-03-19,43.3
2021-03-20,58.5
2021-03-21,62.0
2021-03-22,59.9
2021-03-23,62.9
2021-03-24,54.0
2021-03-25,66.5
2021-03-26,81.4
2021-03-27,67.7
2021-03-28,59.5
2021-03-29,55.1
2021-03-30,59.5
2021-03-31,65.9
2021-04-01,57.6
2021-04-02,39.0
2021-04-03,53.2
2021-04-04,64.2
2021-04-05,67.7
2021-04-06,69.2
2021-04-07,71.0
2021-04-08,68.5
2021-04-09,57.2
2021-04-10,66.5
2021-04-11,55.4
2021-04-12,51.0
2021-04-13,64.3
2021-04-14,70.8
2021-04-15,59.1
2021-04-16,51.5
2021-04-17,54.7
2021-04-18,61.4
2021-04-19,63.4
2021-04-20,75.3
2021-04-21,68.0
2021-04-22,47.7
2021-04-23,63.9
2021-04-24,70.8
2021-04-25,62.7
2021-04-26,60.3
2021-04-27,62.2
2021-04-28,83.6
2021-04-29,74.4
2021-04-30,71.4
2021-05-01,64.6
2021-05-02,82.1
2021-05-03,64.8
2021-05-04,70.6
2021-05-05,61.6
2021-05-06,66.3
2021-05-07,63.8
2021-05-08,53.6
2021-05-09,63.2
2021-05-10,59.5
2021-05-11,65.9
2021-05-12,67.1
2021-05-13,70.7
2021-05-14,75.8
2021-05-15,77.6
2021-05-16,75.3
2021-05-17,77.7
2021-05-18,81.8
2021-05-19,85.6
2021-05-20,74.9
2021-05-21,78.1
2021-05-22,88.8
2021-05-23,88.1
2021-05-24,69.7
2021-05-25,73.5
2021-05-26,85.9
2021-05-27,82.2
2021-05-28,68.2
2021-05-29,50.9
2021-05-30,51.7
2021-05-31,70.3
2021-06-01,76.3
2021-06-02,74.7
2021-06-03,73.7
2021-06-04,77.9
2021-06-05,90.6
2021-06-06,92.4
2021-06-07,91.6
2021-06-08,89.5
2021-06-09,90.0
2021-06-10,81.9
2021-06-11,68.6
2021-06-12,69.5
2021-06-13,75.3
2021-06-14,73.2
2021-06-15,80.3
2021-06-16,76.5
2021-06-17,77.0
2021-06-18,84.1
2021-06-19,88.7
2021-06-20,85.9
2021-06-21,85.5
2021-06-22,79.4
2021-06-23,75.5
2021-06-24,76.5
2021-06-25,80.1
2021-06-26,82.5
2021-06-27,88.8
2021-06-28,92.8
2021-06-29,95.6
2021-06-30,97.9
2021-07-01,83.6
2021-07-02,77.1
2021-07-03,65.9
2021-07-04,78.3
2021-07-05,82.4
2021-07-06,93.1
2021-07-07,91.9
2021-07-08,84.7
2021-07-09,86.0
2021-07-10,81.4
2021-07-11,79.4
2021-07-12,84.8
2021-07-13,72.9
2021-07-14,87.8
2021-07-15,88.7
2021-07-16,91.6
2021-07-17,90.3
2021-07-18,83.6
2021-07-19,81.3
2021-07-20,86.6
2021-07-21,81.8
2021-07-22,81.0
2021-07-23,82.2
2021-07-24,83.5
2021-07-25,83.1
2021-07-26,88.4
2021-07-27,89.4
2021-07-28,81.7
2021-07-29,77.7
2021-07-30,83.2
2021-07-31,76.5
2021-08-01,75.9
2021-08-02,79.8
2021-08-03,79.2
2021-08-04,75.8
2021-08-05,81.2
2021-08-06,88.0
2021-08-07,86.0
2021-08-08,77.6
2021-08-09,78.9
2021-08-10,83.7
2021-08-11,89.7
2021-08-12,94.0
2021-08-13,94.5
2021-08-14,88.6
2021-08-15,83.1
2021-08-16,80.0
2021-08-17,80.4
2021-08-18,83.4
2021-08-19,86.6
2021-08-20,82.0
2021-08-21,81.8
2021-08-22,75.5
2021-08-23,84.0
2021-08-24,88.8
2021-08-25,90.7
2021-08-26,91.7
2021-08-27,91.9
2021-08-28,80.4
2021-08-29,75.1
2021-08-30,85.4
2021-08-31,84.1
2021-09-01,78.9
2021-09-02,76.8
2021-09-03,73.5
2021-09-04,78.5
2021-09-05,74.7
2021-09-06,82.4
2021-09-07,80.2
2021-09-08,83.0
2021-09-09,76.3
2021-09-10,74.5
2021-09-11,76.7
2021-09-12,82.6
2021-09-13,83.6
2021-09-14,78.9
2021-09-15,85.8
2021-09-16,76.6
2021-09-17,74.5
2021-09-18,84.8
2021-09-19,76.5
2021-09-20,74.9
2021-09-21,75.2
2021-09-22,78.5
2021-09-23,80.2
2021-09-24,72.8
2021-09-25,75.6
2021-09-26,72.5
2021-09-27,78.8
2021-09-28,71.9
2021-09-29,68.1
2021-09-30,66.0
2021-10-01,67.2
2021-10-02,74.6
2021-10-03,77.9
2021-10-04,73.5
2021-10-05,66.3
2021-10-06,69.7
2021-10-07,74.2
2021-10-08,74.7
2021-10-09,67.9
2021-10-10,66.9
2021-10-11,71.5
2021-10-12,70.0
2021-10-13,69.7
2021-10-14,77.0
2021-10-15,79.7
2021-10-16,76.1
2021-10-17,62.1
2021-10-18,59.4
2021-10-19,66.9
2021-10-20,75.8
2021-10-21,74.9
2021-10-22,69.1
2021-10-23,59.4
2021-10-24,59.8
2021-10-25,73.4
2021-10-26,63.8
2021-10-27,61.0
2021-10-28,57.9
2021-10-29,56.7
2021-10-30,64.8
2021-10-31,64.4
2021-11-01,59.2
2021-11-02,53.1
2021-11-03,52.1
2021-11-04,50.7
2021-11-05,51.5
2021-11-06,53.0
2021-11-07,53.9
2021-11-08,64.1
2021-11-09,69.5
2021-11-10,64.2
2021-11-11,61.6
2021-11-12,65.6
2021-11-13,62.7
2021-11-14,47.4
2021-11-15,48.2
2021-11-16,49.3
2021-11-17,56.6
2021-11-18,69.3
2021-11-19,48.5
2021-11-20,47.4
2021-11-21,55.9
2021-11-22,55.3
2021-11-23,42.2
2021-11-24,45.2
2021-11-25,56.5
2021-11-26,48.7
2021-11-27,39.2
2021-11-28,41.2
2021-11-29,43.4
2021-11-30,41.5
2021-12-01,50.1
2021-12-02,58.3
2021-12-03,48.7
2021-12-04,48.5
2021-12-05,47.9
2021-12-06,60.5
2021-12-07,44.9
2021-12-08,41.4
2021-12-09,38.9
2021-12-10,49.7
2021-12-11,66.1
2021-12-12,57.4
2021-12-13,52.8
2021-12-14,53.4
2021-12-15,53.9
2021-12-16,62.2
2021-12-17,59.4
2021-12-18,48.5
2021-12-19,45.7
2021-12-20,36.9
2021-12-21,42.3
2021-12-22,47.4
2021-12-23,36.2
2021-12-24,39.8
2021-12-25,49.9
2021-12-26,51.8
2021-12-27,40.5
2021-12-28,46.8
2021-12-29,44.2
