ds,y,prediction_5,prediction,prediction_95
2020-09-01,39688.0,30776.767895611534,40606.313662622415,52156.91726075765
2020-09-02,41529.0,29490.68057922123,40383.62402411436,49247.535546305655
2020-09-03,43060.0,28815.227452493138,40076.176090991474,47728.196838621414
2020-09-04,41981.0,32663.029130085433,42071.74199957336,52209.38485540879
2020-09-05,30987.0,30350.147290567198,42539.8373766952,50913.83547493994
2020-09-06,25360.0,30573.62577713202,37319.78983882372,49002.96224991131
2020-09-07,25354.0,23607.01131357275,35089.82889050739,44527.169178810334
2020-09-08,43457.0,20682.668577614564,32736.371409709413,41276.043452907186
2020-09-09,47655.0,26915.083454998894,37010.92671659053,44473.784430592335
2020-09-10,48295.0,28926.921706575497,39555.1070935308,46075.117855274366
2020-09-11,50521.0,30957.648886037012,42809.788058541584,53886.753634835106
2020-09-12,41372.0,33139.44255566278,43691.52182004956,56620.63205955124
2020-09-13,29470.0,34158.06034317896,43165.455429476046,54796.07701501264
2020-09-14,44628.0,32644.167229776373,39895.96189336943,52419.89877086014
2020-09-15,49742.0,35167.722385999,46247.31057742829,54196.07468046644
2020-09-16,51389.0,39757.55774904781,46597.824366531604,56195.82283215326
2020-09-17,53075.0,38070.92140076893,49851.99199076088,58506.68096569483
2020-09-18,54215.0,39664.6229080871,50159.27816627516,60125.237305550625
2020-09-19,43830.0,39728.57326139159,48391.39928748172,56291.11937269654
2020-09-20,33839.0,35457.63360569874,44362.195149946085,53848.87005781004
2020-09-21,46215.0,35967.23521169132,45428.35639027761,54941.99667649203
2020-09-22,51190.0,41836.23723413853,51050.19746037034,60727.43413174301
2020-09-23,54777.0,40058.115707142504,50315.05033566842,60259.85822828836
2020-09-24,56284.0,41095.81380261452,51769.743354356375,61905.06961163977
2020-09-25,58829.0,45517.27357353037,53307.59014901778,63331.046534892674
2020-09-26,47145.0,38342.3097355328,50875.463329499915,60487.18432559139
2020-09-27,35557.0,36652.6594934183,47031.26550999772,58457.50124643146
2020-09-28,41203.0,37937.62665353612,48970.92172040112,60407.68245828142
2020-09-29,54054.0,42025.28597270947,50777.64817432393,59744.527513101806
2020-09-30,56196.0,40999.11174429718,52371.9022870598,59965.60587571803
2020-10-01,60607.0,45058.00088088416,54687.620217032134,64617.43941481946
2020-10-02,59094.0,46549.19439770251,57487.95997655885,67730.55029510356
2020-10-03,49261.0,38727.7819692934,50594.8471278231,61478.302924154836
2020-10-04,34494.0,36464.40079800855,45427.79939343683,57384.59271763061
2020-10-05,47744.0,38793.43896306054,48542.57908850648,59960.59722107436
2020-10-06,54181.0,44568.82041080144,54101.40277611119,63078.63463221197
2020-10-07,57153.0,46294.88015681847,56481.73157031705,65476.42810407079
2020-10-08,59721.0,44384.63534180542,56896.58284848223,62721.7161987088
2020-10-09,58173.0,48048.37925260541,57102.65392840482,66465.22947779972
2020-10-10,48185.0,42255.724991263305,50962.2097791177,59544.62835927362
2020-10-11,34443.0,31695.459799933433,43180.63698647754,55625.201019140775
2020-10-12,42638.0,40533.15680552993,49749.26765370815,59572.56095721689
2020-10-13,54557.0,43230.48438096979,53343.326113322044,62640.8781030289
2020-10-14,59294.0,43520.44100887553,54753.06624031513,64499.050796191215
2020-10-15,62948.0,47907.02551909159,57831.588246026906,68111.86039195517
2020-10-16,58372.0,52138.74564805273,59487.690648380056,70150.61386943504
2020-10-17,52077.0,40731.858182313066,51004.31685797739,60299.869449319674
2020-10-18,38795.0,35168.39012912333,44350.790848526216,54098.870852602005
2020-10-19,51191.0,41887.24974181695,50923.731319073035,62608.671442325554
2020-10-20,57412.0,48305.8818664591,57498.45474646757,66467.07939610982
2020-10-21,59138.0,50219.554722095636,60749.982670268684,72037.1292144355
2020-10-22,62159.0,52744.92255547937,60998.97523772685,71278.16181654147
2020-10-23,61789.0,46320.21285985995,60487.807288002776,69124.43441601293
2020-10-24,53349.0,43720.0994287219,51517.847308119715,62855.978522748876
2020-10-25,39439.0,34711.82362551879,44453.5695140547,52558.8333295817
2020-10-26,53401.0,43111.55270111834,52785.41046064002,61579.201755318485
2020-10-27,59660.0,52110.737400939965,62084.49768314847,70376.66147114974
2020-10-28,62978.0,52434.28205037026,62156.43263015077,69896.81241789108
2020-10-29,64845.0,52978.43993138971,62676.666453713195,72917.59492627537
2020-10-30,66249.0,51528.00057970793,62463.889579023205,74947.81791058979
2020-10-31,57920.0,46646.371702668184,55937.66930575855,64620.85191917879
2020-11-01,42863.0,38383.85744118423,47426.230355359716,56966.27195944095
2020-11-02,55257.0,46209.37904619223,55976.370602373936,64423.46559721047
2020-11-03,49758.0,56454.51641043172,64439.580539083436,71954.88818344224
2020-11-04,49178.0,52871.36528637869,60274.986439119515,71909.5354430373
2020-11-05,57466.0,47632.01729914803,58271.7922955066,66293.09310786643
2020-11-06,60808.0,49059.89889148762,57522.91124258522,66859.73769355433
2020-11-07,55121.0,39383.01022752988,50943.22859095362,59885.451448075204
2020-11-08,41848.0,31548.11078741149,40223.41393084811,48913.72501581101
2020-11-09,51950.0,44144.04428163089,52638.73851345827,60304.038898428356
2020-11-10,62154.0,50322.32029930471,57348.58068889969,66720.36355408718
2020-11-11,58527.0,51820.38072265646,60887.17898527649,70032.00266801928
2020-11-12,62237.0,56567.81837214928,64004.39523086671,72204.24674239646
2020-11-13,63099.0,52653.98323871132,62663.75048928323,72699.17702651315
2020-11-14,52007.0,45968.89076913105,56284.80248358415,66209.29237861035
2020-11-15,34895.0,32087.686765875413,42458.59189382683,50598.78709259139
2020-11-16,52148.0,42701.739244849945,50781.71071883694,60327.786543042406
2020-11-17,59506.0,49857.83654745393,56796.45995746587,65601.10183206636
2020-11-18,62063.0,47102.62258164189,58709.53003073598,69385.08139857052
2020-11-19,61125.0,54934.62645314565,63002.93973532511,74896.34410889217
2020-11-20,61903.0,53924.48532055192,62624.46593950168,73669.35664240501
2020-11-21,48758.0,43486.35563859713,54107.41367562353,63195.03389618434
2020-11-22,32720.0,31877.489165380885,41931.41890733206,51700.325734421065
2020-11-23,52550.0,39579.97647907247,49948.27192676556,62085.2571263493
2020-11-24,56335.0,49255.286804478375,57781.15445409417,67412.83133559098
2020-11-25,51859.0,49772.268149873125,59265.4514715137,67038.99479006593
2020-11-26,24923.0,47614.675803258535,57670.81709301854,66988.44610477102
2020-11-27,34264.0,37482.31423769734,47362.40063756791,57778.98140291041
2020-11-28,35806.0,24848.221366979753,33989.73025532621,44234.07344836238
2020-11-29,31811.0,12967.126032040109,23049.185628229905,34166.57643376411
2020-11-30,45976.0,30752.26044584432,40320.17040884352,49915.72771278605
2020-12-01,54850.0,40925.398163583915,48135.73343981356,58804.24187693953
2020-12-02,55903.0,41097.995775180374,50131.875150774926,59359.84519345226
2020-12-03,56776.0,40575.17404781349,50159.18864815642,58501.605435140234
2020-12-04,57390.0,43187.480372149155,55088.95595708999,64894.882248913185
2020-12-05,42775.0,41702.41323062959,49611.933859331344,60556.16305395608
