ds,y,prediction_5,prediction,prediction_95
2020-09-01,39688.0,30379.66153277415,40811.244082973426,49515.36357333697
2020-09-02,41529.0,28550.16478535305,39714.782912484676,49923.28558106518
2020-09-03,43060.0,30654.749923090414,39923.77587187447,50452.585813023274
2020-09-04,41981.0,33082.74292789291,41558.44867835102,56022.700794665754
2020-09-05,30987.0,34102.90420161106,43364.168484673355,54993.83548561946
2020-09-06,25360.0,28773.46989220326,40368.209040555885,49154.415408493966
2020-09-07,25354.0,23006.661512035385,37080.467637007125,44266.39466814315
2020-09-08,43457.0,21627.734181731597,32421.8680852334,46620.03056681558
2020-09-09,47655.0,24970.13473059305,36244.3378949786,45303.60598113195
2020-09-10,48295.0,32854.612378944854,41558.48348392412,50735.407754108055
2020-09-11,50521.0,35327.094088480575,42425.00601654193,51142.272224900305
2020-09-12,41372.0,35695.59968934768,43883.99665326603,53453.026897081196
2020-09-13,29470.0,34073.15239138976,43829.468784006836,52527.46927303956
2020-09-14,44628.0,30235.374571802906,39904.95251970536,50721.70692611432
2020-09-15,49742.0,37729.18321349429,45561.08515060735,54712.79432090209
2020-09-16,51389.0,36554.06718309936,46919.38431251389,54596.14825416544
2020-09-17,53075.0,35214.00171103843,47708.40154621067,58411.64042813632
2020-09-18,54215.0,42185.37749133135,51047.718390715556,58991.46737391767
2020-09-19,43830.0,38954.439355617935,48258.475022253784,58736.80461753196
2020-09-20,33839.0,36046.52546300462,44810.459857360955,58373.548391108125
2020-09-21,46215.0,36782.774854266696,45627.0269090105,54858.55309511806
2020-09-22,51190.0,40256.96064420198,49729.57273259748,58767.86330832964
2020-09-23,54777.0,41913.076423954255,50788.702789749674,60570.87612498658
2020-09-24,56284.0,42764.35804091113,51921.585874858254,62321.30424569677
2020-09-25,58829.0,44625.63521721975,53607.04615800697,65443.00053565158
2020-09-26,47145.0,40008.02651987514,50375.76678161472,58341.80900325971
2020-09-27,35557.0,36541.03438357995,45087.95828963141,53879.83302044923
2020-09-28,41203.0,40182.646911913645,49677.91842749608,61494.77896221744
2020-09-29,54054.0,42009.09165067015,51649.855493059964,60957.751694564744
2020-09-30,56196.0,43369.4165944764,52235.43135120687,64933.05807249667
2020-10-01,60607.0,45309.8305532547,55143.69005497279,63510.67481076663
2020-10-02,59094.0,46412.816756242675,56383.587365525236,64415.95657298851
2020-10-03,49261.0,42121.28013049754,50530.74058545653,58832.59777544467
2020-10-04,34494.0,34092.91995724783,45142.31541975416,55639.16959821117
2020-10-05,47744.0,38074.07812229963,49680.13566343328,59621.086275264825
2020-10-06,54181.0,46171.36982268886,55392.21194614853,67280.32101328851
2020-10-07,57153.0,47242.372221461614,55286.49147333216,64368.32420086805
2020-10-08,59721.0,48573.980370328965,55633.988832167044,64113.92944523684
2020-10-09,58173.0,44831.20262992423,56921.144320778665,69169.5542242315
2020-10-10,48185.0,43261.467940719536,51366.3606447378,59864.418060347816
2020-10-11,34443.0,35496.88708982556,44689.45883202746,53709.800218908844
2020-10-12,42638.0,37175.84803240413,48969.69595117467,57927.72114357002
2020-10-13,54557.0,44467.72765117404,53886.75204237143,65742.77708373101
2020-10-14,59294.0,45356.915139978606,55240.120223243524,63499.075463574336
2020-10-15,62948.0,49945.782217858825,57379.23786159153,67310.70078324738
2020-10-16,58372.0,50397.67779711728,57768.44579357302,68602.3527412572
2020-10-17,52077.0,40117.145325647216,51411.347655711696,59587.98429563649
2020-10-18,38795.0,32475.968969113263,44817.59289122501,51575.916234743476
2020-10-19,51191.0,41595.2206482461,51212.57613850298,62287.37249769206
2020-10-20,57412.0,47934.36286048054,58261.6758240334,67547.04347459043
2020-10-21,59138.0,49843.98245301634,60436.71872482486,66675.44097632382
2020-10-22,62159.0,51922.62754271762,61668.577183196205,69015.42785676938
2020-10-23,61789.0,49840.64259725683,59734.56785886042,69397.48501152273
2020-10-24,53349.0,41412.11959426245,53216.86937743774,61738.15988131785
2020-10-25,39439.0,35565.851552070104,44393.1512059527,54586.87563579326
2020-10-26,53401.0,42911.627762131255,52082.654913330814,60346.23311389398
2020-10-27,59660.0,51051.54242387574,60297.83939519724,73367.67234448573
2020-10-28,62978.0,52112.03216717889,61787.95902028377,71147.2735049189
2020-10-29,64845.0,54103.67182250019,63852.81938179413,73596.9740836442
2020-10-30,66249.0,56084.543467995194,62480.16147029023,71062.2801215398
2020-10-31,57920.0,45569.580767183834,55310.06638188215,68842.54115666686
2020-11-01,42863.0,37806.01066825362,46728.09765483361,57345.20652796898
2020-11-02,55257.0,44980.32296947561,55690.57399479285,66926.13154815426
2020-11-03,49758.0,52997.262105891314,64576.338964357754,74543.93941862808
2020-11-04,49178.0,52749.87138201173,60510.49523230347,71265.00142100552
2020-11-05,57466.0,48941.01989913001,58963.11974281384,68237.83832859353
2020-11-06,60808.0,48201.03826300861,56120.02797779537,63803.756662847714
2020-11-07,55121.0,40027.195999502306,49849.19922032839,62613.30738590951
2020-11-08,41848.0,31505.575333948545,40391.43519825759,51164.566966895094
2020-11-09,51950.0,42736.23021944019,51519.44090648094,59395.89236357321
2020-11-10,62154.0,48979.624791836824,57863.46768627994,70691.96863567707
2020-11-11,58527.0,47987.044488368985,61345.387349289005,71283.49081822425
2020-11-12,62237.0,54642.540498990384,63693.297008819005,70939.96138528781
2020-11-13,63099.0,54315.98638749341,63228.691201537265,69395.86761867699
2020-11-14,52007.0,44425.32359834594,55801.220876274325,62772.25747645475
2020-11-15,34895.0,33844.60454585088,43146.772171221724,51388.45285928892
2020-11-16,52148.0,44148.30175253613,52292.80489051384,58096.20508933325
2020-11-17,59506.0,48640.20513566858,56731.060936695925,65071.84709171365
2020-11-18,62063.0,50193.21973042588,59023.16880052201,70610.12294264665
2020-11-19,61125.0,55860.19124104376,64553.318942084254,72931.38235192622
2020-11-20,61903.0,53910.6004465673,63758.265913283714,71108.74716769288
2020-11-21,48758.0,45321.64520556562,54196.91985781197,64117.4121326867
2020-11-22,32720.0,29659.427581541404,40753.63116409362,49447.83959115831
2020-11-23,52550.0,39124.38484023889,50617.73811773847,59825.16338684406
2020-11-24,56335.0,46917.17791784539,56707.51192083294,67137.03858408326
2020-11-25,51859.0,48792.21914615724,58973.26195643234,69700.95521928341
2020-11-26,24923.0,49781.426221299436,60419.84381788943,69578.7297251754
2020-11-27,34264.0,37591.109044424404,48561.003890672626,58198.27839666481
2020-11-28,35806.0,24576.32080086577,34841.73014446955,42492.04297307118
2020-11-29,31811.0,10692.91981934216,23554.935929819512,33738.7717156164
2020-11-30,45976.0,30793.89996042942,40585.25572742814,50419.25556026227
2020-12-01,54850.0,39730.02653173122,46383.65206768949,57730.06730091405
2020-12-02,55903.0,39186.98450852034,50207.82543071371,60521.58635572014
2020-12-03,56776.0,38901.324076888464,50675.39918198723,57824.08424760853
2020-12-04,57390.0,45120.27156267054,56226.313234979505,63831.892302919165
2020-12-05,42775.0,42153.38043671909,49063.189118871305,59870.8506794169
2020-12-06,37198.0,24712.891034358032,37015.43081203336,44162.484235440716
2020-12-07,50675.0,38544.41298623729,50575.13166922922,61920.74760645956
2020-12-08,56720.0,49632.60673993632,57209.47052807509,67485.92723894994
2020-12-09,57622.0,45546.800698410465,57061.316805003866,66426.43142594895
2020-12-10,59288.0,44656.33732470015,54272.517991702036,64213.95288799232
2020-12-11,61194.0,46338.27388430231,57990.385569532256,68793.97071309893
2020-12-12,46618.0,42207.07522076315,51233.27951520776,59246.51843070707
2020-12-13,38726.0,30947.018013739795,40489.36213870389,49484.78222294586
2020-12-14,51467.0,42306.736739389955,52299.567516274765,62792.35703818805
2020-12-15,60886.0,47598.29777271484,59180.7687588443,69623.62626790388
2020-12-16,50672.0,53856.48682279443,60535.5935020357,69964.22020761934
2020-12-17,26421.0,46179.54683509691,55153.215343192875,62509.756766667146
2020-12-18,59318.0,39331.65960275036,47807.83142057358,57790.89415965248
2020-12-19,44091.0,32665.640513595125,43184.81295753409,51210.061278139685
2020-12-20,31681.0,23223.62905567474,33073.841072474366,43519.819837748095
2020-12-21,51526.0,37152.10546665699,46730.02078615813,54389.46218915718
2020-12-22,56169.0,46681.34737583423,55295.74399380546,65092.700166181894
2020-12-23,56755.0,44588.30700082491,53156.267701157376,64996.22195429371
2020-12-24,44483.0,36208.433398459645,49297.40588756815,57598.55336254396
2020-12-25,19112.0,49266.620524795755,57060.62798026587,67130.0014299955
2020-12-26,28407.0,23288.31355554927,34309.443337620236,44156.785098832406
2020-12-27,25892.0,14798.143810132364,23353.22891948838,35817.8712752466
2020-12-28,40985.0,29072.652415052853,38415.964309507384,46997.76230171505
2020-12-29,45866.0,34912.25151855516,45806.20197632711,56334.44434641327
2020-12-30,47650.0,30570.172095512426,43567.37127854829,53520.88111417214
2020-12-31,44811.0,29433.429654561736,38938.586936910244,47821.43071778378
