ds,y,prediction_5,prediction,prediction_95
2020-09-01,39688.0,30160.027421474406,39546.83748865012,50592.59863761133
2020-09-02,41529.0,30388.664599496675,39714.23595951544,51674.07757760759
2020-09-03,43060.0,33926.79503627778,40588.490060926444,48839.170155511434
2020-09-04,41981.0,29955.286915058987,43058.56292066851,52409.10708862895
2020-09-05,30987.0,30175.030907546836,43658.58627154585,52606.678787557285
2020-09-06,25360.0,28489.683105749853,38168.052064852,52429.6705401521
2020-09-07,25354.0,24212.580582760587,33459.205032468555,45773.738247969355
2020-09-08,43457.0,19045.09865845543,30324.79999889828,41148.02689446005
2020-09-09,47655.0,27970.92600104206,36232.95780309079,45148.4541729673
2020-09-10,48295.0,32964.98536610684,40395.90183752118,47579.04580165065
2020-09-11,50521.0,35974.06403122661,43944.84582128367,54548.85877260676
2020-09-12,41372.0,35547.59866530451,44029.206004123276,53060.707099451145
2020-09-13,29470.0,34081.06097449182,43509.22205425377,53522.56804572095
2020-09-14,44628.0,29175.407379553486,39683.48403500946,48855.434804914206
2020-09-15,49742.0,34450.93352585625,45220.29159648699,53785.21802241616
2020-09-16,51389.0,38815.47753889747,47532.771295543644,55286.053278596184
2020-09-17,53075.0,39565.56359491358,48946.3994585029,59315.98209405794
2020-09-18,54215.0,41195.043916288385,50481.624129870106,61417.719349805855
2020-09-19,43830.0,39161.71135790206,46953.92462813598,55549.20479102285
2020-09-20,33839.0,33682.84356460595,44546.65862847274,56084.828612271034
2020-09-21,46215.0,32600.459832706758,46258.69016460535,54394.906166793546
2020-09-22,51190.0,39529.197831109384,49281.9259631504,60404.4289410712
2020-09-23,54777.0,41194.74421272287,49715.05885731979,57212.838053382
2020-09-24,56284.0,42858.73806331099,52169.837910233786,62153.15519510817
2020-09-25,58829.0,47011.888198212204,53529.62525438452,64547.226939208915
2020-09-26,47145.0,42036.66166302804,50296.05070733659,60455.82446712446
2020-09-27,35557.0,36976.609384394644,46268.68736172329,56522.23461457676
2020-09-28,41203.0,39658.36073151609,48935.640087774926,59606.81497154803
2020-09-29,54054.0,40100.47067900622,50278.09872544478,56277.20062767382
2020-09-30,56196.0,44824.6113382825,52045.54669726988,61392.48261105787
2020-10-01,60607.0,44307.87004786755,54235.071874444664,64261.40251363251
2020-10-02,59094.0,47473.8599615246,55197.63951961488,64693.16370543134
