week_start,Mode,subway_rides
2025-05-26,Subway,2223342.0
2025-05-25,Subway,2263974.0
2025-05-24,Subway,2612492.0
2025-05-23,Subway,3867103.0
2025-05-22,Subway,4177159.0
2025-05-21,Subway,4359295.0
2025-05-20,Subway,4288227.0
2025-05-19,Subway,3859605.0
2025-05-18,Subway,2348792.0
2025-05-17,Subway,2806870.0
2025-05-16,Subway,3917746.0
2025-05-15,Subway,4226319.0
2025-05-14,Subway,4325647.0
2025-05-13,Subway,4101901.0
2025-05-12,Subway,3950681.0
2025-05-11,Subway,2177273.0
2025-05-10,Subway,2895080.0
2025-05-09,Subway,3893760.0
2025-05-08,Subway,4380539.0
2025-05-07,Subway,4438683.0
2025-05-06,Subway,4289517.0
2025-05-05,Subway,3924272.0
2025-05-04,Subway,2175053.0
2025-05-03,Subway,2896423.0
2025-05-02,Subway,4120612.0
2025-05-01,Subway,4440098.0
2025-04-30,Subway,4406705.0
2025-04-29,Subway,4350681.0
2025-04-28,Subway,3946503.0
2025-04-27,Subway,2329464.0
2025-04-26,Subway,2696077.0
2025-04-25,Subway,4124744.0
2025-04-24,Subway,4419648.0
2025-04-23,Subway,4402438.0
2025-04-22,Subway,4307321.0
2025-04-21,Subway,3806992.0
2025-04-20,Subway,2100218.0
2025-04-19,Subway,2880379.0
2025-04-18,Subway,3551334.0
2025-04-17,Subway,4077460.0
2025-04-16,Subway,4059487.0
2025-04-15,Subway,3997927.0
2025-04-14,Subway,3598255.0
2025-04-13,Subway,2180093.0
2025-04-12,Subway,2528127.0
2025-04-11,Subway,3864826.0
2025-04-10,Subway,4299477.0
2025-04-09,Subway,4343794.0
2025-04-08,Subway,4324220.0
2025-04-07,Subway,3848628.0
2025-04-06,Subway,2059867.0
2025-04-05,Subway,2658935.0
2025-04-04,Subway,3990036.0
2025-04-03,Subway,4286943.0
2025-04-02,Subway,4320984.0
2025-04-01,Subway,4247056.0
2025-03-31,Subway,3414357.0
2025-03-30,Subway,2055899.0
2025-03-29,Subway,2887283.0
2025-03-28,Subway,3878481.0
2025-03-27,Subway,4263378.0
2025-03-26,Subway,4237196.0
2025-03-25,Subway,4214256.0
2025-03-24,Subway,3650582.0
2025-03-23,Subway,2007695.0
2025-03-22,Subway,2653512.0
2025-03-21,Subway,3873120.0
2025-03-20,Subway,4191910.0
2025-03-19,Subway,4274997.0
2025-03-18,Subway,4232297.0
2025-03-17,Subway,3751313.0
2025-03-16,Subway,2111229.0
2025-03-15,Subway,2686698.0
2025-03-14,Subway,3926685.0
2025-03-13,Subway,4265918.0
2025-03-12,Subway,4273439.0
2025-03-11,Subway,4220071.0
2025-03-10,Subway,3849712.0
2025-03-09,Subway,1991779.0
2025-03-08,Subway,2662053.0
2025-03-07,Subway,3877969.0
2025-03-06,Subway,4177390.0
2025-03-05,Subway,4139402.0
2025-03-04,Subway,4178706.0
2025-03-03,Subway,3783633.0
2025-03-02,Subway,1943509.0
2025-03-01,Subway,2655494.0
2025-02-28,Subway,3867670.0
2025-02-27,Subway,4123434.0
2025-02-26,Subway,4202962.0
2025-02-25,Subway,4094456.0
2025-02-24,Subway,3722403.0
2025-02-23,Subway,1905750.0
2025-02-22,Subway,2492096.0
2025-02-21,Subway,3481093.0
2025-02-20,Subway,3822211.0
2025-02-19,Subway,3830039.0
2025-02-18,Subway,3698061.0
2025-02-17,Subway,2458343.0
2025-02-16,Subway,1809213.0
2025-02-15,Subway,2355977.0
2025-02-14,Subway,3855445.0
2025-02-13,Subway,4098104.0
2025-02-12,Subway,3940993.0
2025-02-11,Subway,4111749.0
2025-02-10,Subway,3746029.0
2025-02-09,Subway,1850257.0
2025-02-08,Subway,2538395.0
2025-02-07,Subway,3861700.0
2025-02-06,Subway,3885191.0
2025-02-05,Subway,4182058.0
2025-02-04,Subway,4150390.0
2025-02-03,Subway,3695940.0
2025-02-02,Subway,1848424.0
2025-02-01,Subway,2483263.0
2025-01-31,Subway,3624121.0
2025-01-30,Subway,4088389.0
2025-01-29,Subway,3735444.0
2025-01-28,Subway,4057100.0
2025-01-27,Subway,3612704.0
2025-01-26,Subway,1882291.0
2025-01-25,Subway,2486799.0
2025-01-24,Subway,3584146.0
2025-01-23,Subway,3870712.0
2025-01-22,Subway,3745833.0
2025-01-21,Subway,3624134.0
2025-01-20,Subway,2216281.0
2025-01-19,Subway,1828934.0
2025-01-18,Subway,2336087.0
2025-01-17,Subway,3604425.0
2025-01-16,Subway,3919882.0
2025-01-15,Subway,3927198.0
2025-01-14,Subway,3901919.0
2025-01-13,Subway,3565093.0
2025-01-12,Subway,1832507.0
2025-01-11,Subway,2333104.0
2025-01-10,Subway,3561095.0
2025-01-09,Subway,3757580.0
2025-01-08,Subway,3834806.0
2025-01-07,Subway,3784051.0
2025-01-06,Subway,3437198.0
2025-01-05,Subway,1791537.0
2025-01-04,Subway,2315791.0
2025-01-03,Subway,3413456.0
2025-01-02,Subway,3377364.0
2025-01-01,Subway,1779501.0
2024-12-31,Subway,2874166.0
2024-12-30,Subway,3316046.0
2024-12-29,Subway,2122120.0
2024-12-28,Subway,2268511.0
2024-12-27,Subway,3161486.0
2024-12-26,Subway,2852679.0
2024-12-25,Subway,1378374.0
2024-12-24,Subway,2546394.0
2024-12-23,Subway,3216875.0
2024-12-22,Subway,2061173.0
2024-12-21,Subway,2645323.0
